[hazard-q] parsed: baseline (FC) 47 dispatches / 46 loaders, QUARTET 50 dispatches / 49 loaders; applied = node_conv_830@7, node_conv_848@16, node_conv_890@37
[hazard-q] C5: act-region bounds (ACT_DEPTH=25600)
[hazard-q] C1: loader region == engine read region
[hazard-q] C2/C3/C4 per-dispatch verdicts (A=strict/lag for touched, B=FC-baseline-identical for inherited; renumbered dispatch map)
   d module                  read           write fill(d+1)                wxr / rxf / wxf
   0 conv_814     [    0,+12544) [12544,+12544) u_ldr_node_conv_816      disjoint / disjoint / redundant-copy  [B]
  15 conv_846     [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_848      disjoint / disjoint / disjoint  [A]
  16 conv_848     [15640,+784  ) [16424,+196  ) u_ldr_node_conv_850      disjoint / disjoint / disjoint  [A]
  17 conv_850     [ 4096,+196  ) [    0,+196  ) u_ldr_node_conv_852      disjoint / disjoint / redundant-copy  [B]
  18 conv_852     [    0,+196  ) [ 4096,+392  ) u_ldr_node_conv_854      disjoint / disjoint / disjoint  [B]
  19 conv_854     [18776,+392  ) [19168,+392  ) u_ldr_node_conv_856      disjoint / disjoint / disjoint  [B]
  20 conv_856     [    0,+392  ) [ 4096,+196  ) u_ldr_node_conv_858      disjoint / lag-safe-1x1 / disjoint  [B]
  21 conv_858     [    0,+196  ) [ 4096,+392  ) u_ldr_node_conv_860      disjoint / disjoint / disjoint  [B]
  22 conv_860     [19560,+392  ) [19952,+392  ) u_ldr_node_conv_862      disjoint / disjoint / disjoint  [B]
  23 conv_862     [    0,+392  ) [ 4096,+196  ) u_ldr_node_conv_864      disjoint / lag-safe-1x1 / disjoint  [B]
  24 conv_864     [    0,+196  ) [ 4096,+392  ) u_ldr_node_conv_866      disjoint / disjoint / disjoint  [B]
  25 conv_866     [20344,+392  ) [20736,+392  ) u_ldr_node_conv_868      disjoint / disjoint / disjoint  [B]
  26 conv_868     [    0,+392  ) [ 4096,+196  ) u_ldr_node_conv_870      disjoint / lag-safe-1x1 / disjoint  [B]
  27 conv_870     [    0,+196  ) [ 4096,+392  ) u_ldr_node_conv_872      disjoint / disjoint / disjoint  [B]
  28 conv_872     [21128,+392  ) [21520,+392  ) u_ldr_node_conv_874      disjoint / disjoint / disjoint  [B]
  29 conv_874     [    0,+392  ) [ 4096,+196  ) -                        disjoint / none / none  [B]
  30 conv_876     [ 4096,+196  ) [    0,+588  ) u_ldr_node_conv_878      disjoint / disjoint / disjoint  [B]
  31 conv_878     [21912,+588  ) [22500,+588  ) u_ldr_node_conv_880      disjoint / disjoint / disjoint  [B]
  32 conv_880     [ 4096,+588  ) [    0,+196  ) u_ldr_node_conv_882      disjoint / lag-safe-1x1 / disjoint  [B]
  33 conv_882     [ 4096,+196  ) [    0,+588  ) u_ldr_node_conv_884      disjoint / disjoint / disjoint  [B]
  34 conv_884     [23088,+588  ) [23676,+588  ) u_ldr_node_conv_886      disjoint / disjoint / disjoint  [B]
  35 conv_886     [ 4096,+588  ) [    0,+196  ) u_ldr_node_conv_888      disjoint / lag-safe-1x1 / disjoint  [B]
  36 conv_888     [ 4096,+196  ) [    0,+588  ) u_ldr_node_conv_890      disjoint / disjoint / disjoint  [A]
  37 conv_890     [21912,+588  ) [22500,+147  ) u_ldr_node_conv_892      disjoint / disjoint / disjoint  [A]
  38 conv_892     [ 4096,+147  ) [    0,+49   ) u_ldr_node_conv_894      disjoint / disjoint / redundant-copy  [B]
  39 conv_894     [    0,+49   ) [ 4096,+196  ) u_ldr_node_conv_896      disjoint / disjoint / disjoint  [B]
  40 conv_896     [ 8192,+196  ) [ 8780,+196  ) u_ldr_node_conv_898      disjoint / disjoint / disjoint  [B]
  41 conv_898     [    0,+196  ) [ 4096,+49   ) u_ldr_node_conv_900      disjoint / lag-safe-1x1 / disjoint  [B]
  42 conv_900     [    0,+49   ) [ 4096,+196  ) u_ldr_node_conv_902      disjoint / disjoint / disjoint  [B]
  43 conv_902     [ 8388,+196  ) [ 8976,+196  ) u_ldr_node_conv_904      disjoint / disjoint / disjoint  [B]
  44 conv_904     [    0,+196  ) [ 4096,+49   ) u_ldr_node_conv_906      disjoint / lag-safe-1x1 / disjoint  [B]
  45 conv_906     [    0,+49   ) [ 4096,+196  ) u_ldr_node_conv_908      disjoint / disjoint / disjoint  [B]
  46 conv_908     [ 8584,+196  ) [ 9172,+196  ) u_ldr_node_conv_910      disjoint / disjoint / disjoint  [B]
  47 conv_910     [    0,+196  ) [ 4096,+98   ) u_ldr_node_conv_912      disjoint / disjoint / redundant-copy  [B]
  48 conv_912     [ 4096,+98   ) [    0,+245  ) u_ldr_node_linear        disjoint / disjoint / disjoint  [B]
  49 linear       [25088,+5    ) [25093,+4    ) -                        disjoint / none / none  [B]

[hazard-q] RESULT: PASS — PART A: every touched pair strictly disjoint or
         a proven lag class (818 overlay traced to its own bridge stream);
         PART B: all inherited dispatch rows byte-identical to the
         e2e-proven FC/ENG-PIPE baseline; C1/C5 + stride-2 geometry hold.
